Brand,Price,Year,Model,Details,Image URL,Price_in_USD,Power,Usage,Odometer_miles,Range_miles
Audi,"US$ 107,900",2024,Q7 55 TFSI,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12709924.jpg,107900,Gasolina,Nuevo,,
Audi,"US$ 53,900",2024,Q3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11743047.jpg,53900,Gasolina,Nuevo,,
Audi,"US$ 88,900",2024,Q5 45 TFSI QUATTRO,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12476246.jpg,88900,Gasolina,Nuevo,,
Audi,"US$ 46,900",2024,A3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12890229.jpg,46900,Gasolina,Nuevo,,
Audi,"US$ 42,500",2024,Q2,2024 - Gasolina - Nuevo - 1 Km,https://img.supercarros.com/AdsPhotos/282x188/5/12889360.jpg,42500,Gasolina,Nuevo ,1,
Audi,"US$ 43,900",2024,Q2,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/13179330.jpg,43900,Gasolina,Nuevo,,
Audi,"US$ 83,900",2024,Q5 S-Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11600812.jpg,83900,Gasolina,Nuevo,,
Audi,"US$ 46,900",2024,A3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11597229.jpg,46900,Gasolina,Nuevo,,
Audi,"US$ 83,900",2024,Q5 S-Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12889189.jpg,83900,Gasolina,Nuevo,,
Audi,"US$ 63,900",2024,A4 Sport Sline,2024 - Gasolina - Nuevo - 29 Km,https://img.supercarros.com/AdsPhotos/282x188/5/12917868.jpg,63900,Gasolina,Nuevo ,46,
Audi,"US$ 99,900",2024,Q8 E-TRON SPORTBACK,2024 - Eléctrico - Usado - Rango 600 Km,https://img.supercarros.com/AdsPhotos/282x188/5/12244804.jpg,99900,Electrico,Usado ,,967
Audi,"US$ 51,900",2024,A3 S-Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12520580.jpg,51900,Gasolina,Nuevo,,
Audi,"US$ 57,900",2024,Q3 S Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/13096703.jpg,57900,Gasolina,Nuevo,,
Audi,"US$ 63,900",2024,Q3 S Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/13123663.jpg,63900,Gasolina,Nuevo,,
Audi,"US$ 88,900",2024,Q5 Quattro,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12883105.jpg,88900,Gasolina,Nuevo,,
Audi,"US$ 42,500",2024,Q2,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11962223.jpg,42500,Gasolina,Nuevo,,
Audi,"US$ 42,500",2024,Q2,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12611810.jpg,42500,Gasolina,Nuevo,,
Audi,"US$ 88,900",2024,Q5 Sportback,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12735597.jpg,88900,Gasolina,Nuevo,,
Audi,"US$ 115,000",2024,RS3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12172863.jpg,115000,Gasolina,Nuevo,,
Audi,"US$ 125,000",2024,Q8,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/8892105.jpg,125000,Gasolina,Nuevo,,
Audi,"US$ 108,500",2024,Q7 55 TFSI,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12643763.jpg,108500,Gasolina,Nuevo,,
Audi,"US$ 51,900",2024,A3 S-Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/10220956.jpg,51900,Gasolina,Nuevo,,
Audi,"US$ 63,900",2024,Q3 SportBack,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/10494261.jpg,63900,Gasolina,Nuevo,,
Audi,"US$ 63,900",2024,Q3 SportBack,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11852157.jpg,63900,Gasolina,Nuevo,,
Audi,"US$ 83,900",2024,Q5 S-Line,2024 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/9589304.jpg,83900,Gasolina,Usado,,
Audi,"US$ 63,900",2024,Q3 SportBack,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/8746488.jpg,63900,Gasolina,Nuevo,,
Audi,"US$ 75,900",2024,Q5 Sport,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/8969098.jpg,75900,Gasolina,Nuevo,,
Audi,"US$ 88,900",2024,Q5 S-Line Sportback,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/10375680.jpg,88900,Gasolina,Nuevo,,
Audi,"US$ 98,500",2024,Q7 Quatro,2024 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/10490222.jpg,98500,Gasolina,Usado,,
Audi,"US$ 98,500",2024,Q7 Desingn Plus,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/8940824.jpg,98500,Gasolina,Nuevo,,
Audi,"US$ 142,500",2024,Q8 Sline Package,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11263107.jpg,142500,Gasolina,Nuevo,,
Audi,"US$ 47,900",2024,A3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/10282156.jpg,47900,Gasolina,Nuevo,,
Audi,"US$ 88,900",2024,Q5 S-Line Sportback,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/10651094.jpg,88900,Gasolina,Nuevo,,
Audi,"US$ 58,900",2024,Q3 S Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/8981588.jpg,58900,Gasolina,Nuevo,,
Audi,"US$ 58,900",2024,Q3 S Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/9781950.jpg,58900,Gasolina,Nuevo,,
Audi,"US$ 83,900",2024,Q5 40 TDI S-Line SUV,2024 - Diesel - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11242477.jpg,83900,Diesel,Nuevo,,
Audi,"US$ 88,900",2024,Q5 Sportback 40 TDI S-Line,2024 - Diesel - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11242506.jpg,88900,Diesel,Nuevo,,
Audi,"US$ 115,000",2024,E-Tron,2024 - Eléctrico - Nuevo - Rango 480 Km,https://img.supercarros.com/AdsPhotos/282x188/5/10905889.jpg,115000,Electrico,Nuevo ,,774
Audi,"US$ 115,000",2024,E-Tron Sportback 55 S-Line,2024 - Eléctrico - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/10218555.jpg,115000,Electrico,Nuevo,,
Audi,"US$ 98,500",2024,Q7 Quatro,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/9866389.jpg,98500,Gasolina,Nuevo,,
Audi,"US$ 115,000",2024,RS3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12091925.jpg,115000,Gasolina,Nuevo,,
Audi,"US$ 63,900",2024,Q3 SportBack,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/8981642.jpg,63900,Gasolina,Nuevo,,
Audi,"US$ 58,900",2024,Q3 S Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/8893807.jpg,58900,Gasolina,Nuevo,,
Audi,"US$ 63,900",2024,Q3 SportBack,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/8750627.jpg,63900,Gasolina,Nuevo,,
Audi,"US$ 42,500",2024,Q2,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/9098122.jpg,42500,Gasolina,Nuevo,,
Audi,"US$ 51,900",2024,A3 S-Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11345498.jpg,51900,Gasolina,Nuevo,,
Audi,"US$ 54,500",2024,Q3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11713419.jpg,54500,Gasolina,Nuevo,,
Audi,"US$ 75,900",2024,Q5 40 TDI Advance Plus,2024 - Diesel - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11242458.jpg,75900,Diesel,Nuevo,,
Audi,"US$ 58,900",2024,Q3 S Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/8830373.jpg,58900,Gasolina,Nuevo,,
